claim_id,expected_result,risk_score,violations,auto_approved,has_unapproved_items,requires_human_review
CLM-0077,APPROVED,0,None,No,No,Yes
CLM-0078,REJECTED_AUDIT,0.4,HOTEL_LIMIT_EXCEEDED,No,No,Yes
CLM-0079,REJECTED_AUDIT,0.4,HOTEL_LIMIT_EXCEEDED,No,No,Yes
CLM-0080,REJECTED_AUDIT,0.4,HOTEL_LIMIT_EXCEEDED,No,No,Yes
CLM-0081,REJECTED_AUDIT,0.4,HOTEL_LIMIT_EXCEEDED,No,No,Yes
CLM-0082,REJECTED_AUDIT,0.4,HOTEL_LIMIT_EXCEEDED,No,No,Yes
CLM-0083,REJECTED_AUDIT,0.4,HOTEL_LIMIT_EXCEEDED,No,No,Yes
CLM-0084,REJECTED_AUDIT,0.4,HOTEL_LIMIT_EXCEEDED,No,No,Yes
CLM-0085,REJECTED_AUDIT,0.4,HOTEL_LIMIT_EXCEEDED,No,No,Yes
CLM-0086,REJECTED_ITEM_NOT_APPROVED,0.5,UNAPPROVED_ITEMS,No,Yes,Yes
CLM-0087,REJECTED_ITEM_NOT_APPROVED,0.5,UNAPPROVED_ITEMS,No,Yes,Yes
CLM-0088,REJECTED_ITEM_NOT_APPROVED,0.5,UNAPPROVED_ITEMS,No,Yes,Yes
CLM-0089,REJECTED_ITEM_NOT_APPROVED,0.5,UNAPPROVED_ITEMS,No,Yes,Yes
CLM-0090,REJECTED_ITEM_NOT_APPROVED,0.5,UNAPPROVED_ITEMS,No,Yes,Yes
CLM-0091,REJECTED_ITEM_NOT_APPROVED,0.5,UNAPPROVED_ITEMS,No,Yes,Yes
CLM-0092,REJECTED_ITEM_NOT_APPROVED,0.5,UNAPPROVED_ITEMS,No,Yes,Yes
CLM-0093,REJECTED_ITEM_NOT_APPROVED,0.5,UNAPPROVED_ITEMS,No,Yes,Yes
CLM-0094,REJECTED_ITEM_NOT_APPROVED,0.5,UNAPPROVED_ITEMS,No,Yes,Yes
CLM-0095,REJECTED_ITEM_NOT_APPROVED,0.5,UNAPPROVED_ITEMS,No,Yes,Yes
CLM-0096,REVIEW_REQUIRED,0.25,MISSING_RECEIPT,No,No,Yes
CLM-0097,REVIEW_REQUIRED,0.25,MISSING_RECEIPT,No,No,Yes
CLM-0098,REVIEW_REQUIRED,0.5,MISSING_RECEIPT; MISSING_RECEIPT,No,No,Yes
CLM-0099,REJECTED_AUDIT,0.65,MEAL_LIMIT_EXCEEDED; MISSING_RECEIPT,No,No,Yes
CLM-0100,APPROVED,0,None,Yes,No,No
CLM-0101,REVIEW_REQUIRED,0.5,MISSING_RECEIPT; MISSING_RECEIPT,No,No,Yes
CLM-0102,APPROVED,0,None,Yes,No,No
CLM-0103,REVIEW_REQUIRED,0.25,MISSING_RECEIPT,No,No,Yes
CLM-0104,REJECTED_AUDIT,0.65,MEAL_LIMIT_EXCEEDED; MISSING_RECEIPT,No,No,Yes
CLM-0105,APPROVED,0,None,Yes,No,No
CLM-0106,APPROVED,0,None,Yes,No,No
CLM-0107,REJECTED_AUDIT,0.65,MEAL_LIMIT_EXCEEDED; MISSING_RECEIPT,No,No,Yes
CLM-0108,REJECTED_ITEM_NOT_APPROVED,0.5,UNAPPROVED_ITEMS,No,Yes,Yes
CLM-0109,REJECTED_ITEM_NOT_APPROVED,0.5,UNAPPROVED_ITEMS,No,Yes,Yes
CLM-0110,REJECTED_ITEM_NOT_APPROVED,0.5,UNAPPROVED_ITEMS,No,Yes,Yes
CLM-0111,REJECTED_ITEM_NOT_APPROVED,0.5,UNAPPROVED_ITEMS,No,Yes,Yes
CLM-0112,REJECTED_ITEM_NOT_APPROVED,0.5,UNAPPROVED_ITEMS,No,Yes,Yes
CLM-0113,REJECTED_ITEM_NOT_APPROVED,0.5,UNAPPROVED_ITEMS,No,Yes,Yes
CLM-0114,REJECTED_ITEM_NOT_APPROVED,0.5,UNAPPROVED_ITEMS,No,Yes,Yes
CLM-0115,REJECTED_ITEM_NOT_APPROVED,0.5,UNAPPROVED_ITEMS,No,Yes,Yes
CLM-0116,REVIEW_REQUIRED,0.15,LATE_SUBMISSION,No,No,Yes
CLM-0117,REVIEW_REQUIRED,0.15,LATE_SUBMISSION,No,No,Yes
CLM-0118,REVIEW_REQUIRED,0.15,LATE_SUBMISSION,No,No,Yes
CLM-0119,REVIEW_REQUIRED,0.15,LATE_SUBMISSION,No,No,Yes
CLM-0120,REVIEW_REQUIRED,0.15,LATE_SUBMISSION,No,No,Yes
CLM-0121,REVIEW_REQUIRED,0.15,LATE_SUBMISSION,No,No,Yes
CLM-0122,REVIEW_REQUIRED,0.15,LATE_SUBMISSION,No,No,Yes
CLM-0123,REVIEW_REQUIRED,0.15,LATE_SUBMISSION,No,No,Yes
CLM-0124,REVIEW_REQUIRED,0.15,LATE_SUBMISSION,No,No,Yes
CLM-0125,REVIEW_REQUIRED,0.15,LATE_SUBMISSION,No,No,Yes
CLM-0126,REJECTED_VALIDATION,0.3,SUBMISSION_WINDOW_EXCEEDED,No,No,Yes
CLM-0127,REJECTED_VALIDATION,0.3,SUBMISSION_WINDOW_EXCEEDED,No,No,Yes
CLM-0128,REJECTED_VALIDATION,0.3,SUBMISSION_WINDOW_EXCEEDED,No,No,Yes
CLM-0129,REJECTED_VALIDATION,0.3,SUBMISSION_WINDOW_EXCEEDED,No,No,Yes
CLM-0130,REJECTED_VALIDATION,0.3,SUBMISSION_WINDOW_EXCEEDED,No,No,Yes
CLM-0131,REVIEW_REQUIRED,0.15,LATE_SUBMISSION,No,No,Yes
CLM-0132,REVIEW_REQUIRED,0.15,LATE_SUBMISSION,No,No,Yes
CLM-0133,REVIEW_REQUIRED,0.15,LATE_SUBMISSION,No,No,Yes
CLM-0134,REVIEW_REQUIRED,0.15,LATE_SUBMISSION,No,No,Yes
CLM-0135,REVIEW_REQUIRED,0.15,LATE_SUBMISSION,No,No,Yes
CLM-0136,REVIEW_REQUIRED,0.15,LATE_SUBMISSION,No,No,Yes
CLM-0137,REJECTED_VALIDATION,0.3,SUBMISSION_WINDOW_EXCEEDED,No,No,Yes
CLM-0138,REJECTED_VALIDATION,0.3,SUBMISSION_WINDOW_EXCEEDED,No,No,Yes
CLM-0139,REJECTED_VALIDATION,0.3,SUBMISSION_WINDOW_EXCEEDED,No,No,Yes
CLM-0140,REJECTED_VALIDATION,0.3,SUBMISSION_WINDOW_EXCEEDED,No,No,Yes
CLM-0141,REJECTED_VALIDATION,0.3,SUBMISSION_WINDOW_EXCEEDED,No,No,Yes
CLM-0142,APPROVED,0,None,Yes,No,No
CLM-0143,APPROVED,0,None,Yes,No,No
CLM-0144,APPROVED,0,None,Yes,No,No
CLM-0145,APPROVED,0,None,Yes,No,No
CLM-0146,APPROVED,0,None,No,No,Yes
CLM-0147,APPROVED,0,None,Yes,No,No
CLM-0148,APPROVED,0,None,Yes,No,No
CLM-0149,APPROVED,0,None,Yes,No,No
CLM-0150,APPROVED,0,None,Yes,No,No
CLM-0151,APPROVED,0,None,Yes,No,No
CLM-0152,APPROVED,0,None,Yes,No,No
CLM-0153,APPROVED,0,None,Yes,No,No
CLM-0154,APPROVED,0,None,Yes,No,No
CLM-0155,APPROVED,0,None,Yes,No,No
CLM-0156,APPROVED,0,None,Yes,No,No
CLM-0157,APPROVED,0,None,No,No,Yes
CLM-0158,APPROVED,0,None,No,No,Yes
CLM-0159,APPROVED,0,None,No,No,Yes
CLM-0160,APPROVED,0,None,No,No,Yes
CLM-0161,APPROVED,0,None,No,No,Yes
CLM-0162,APPROVED,0,None,No,No,Yes
CLM-0163,APPROVED,0,None,No,No,Yes
CLM-0164,APPROVED,0,None,No,No,Yes
CLM-0165,APPROVED,0,None,Yes,No,No
CLM-0166,APPROVED,0,None,Yes,No,No
CLM-0167,APPROVED,0,None,Yes,No,No
CLM-0168,APPROVED,0,None,Yes,No,No
CLM-0169,APPROVED,0,None,Yes,No,No
CLM-0170,REJECTED_VALIDATION,0.4,NEGATIVE_AMOUNT,No,No,Yes
CLM-0171,REJECTED_VALIDATION,0.4,NEGATIVE_AMOUNT,No,No,Yes
CLM-0172,REJECTED_VALIDATION,0.4,NEGATIVE_AMOUNT,No,No,Yes
CLM-0173,REJECTED_VALIDATION,0.4,NEGATIVE_AMOUNT,No,No,Yes
CLM-0174,REJECTED_VALIDATION,0.4,NEGATIVE_AMOUNT,No,No,Yes
CLM-0175,APPROVED,0,None,Yes,No,No
CLM-0176,APPROVED,0,None,Yes,No,No
CLM-0177,APPROVED,0,None,Yes,No,No
CLM-0178,APPROVED,0,None,Yes,No,No
CLM-0179,APPROVED,0,None,Yes,No,No
CLM-0180,APPROVED,0,None,Yes,No,No
